Date,Process,Department,Task_Completion_Time,Resource_Utilization,Error_Rate,Throughput,Cost_per_Unit,Automation_Level,Employee_Satisfaction,Downtime_Hours,Quality_Score,Process_Efficiency,SLA_Adherence,Bottleneck_Identified
2024-10-01,Order_Processing,Operations,45,85.2,2.1,120,8.50,35,7.2,0.5,92,78.5,98.2,Inventory_Check
2024-10-01,Customer_Support,Support,12,92.1,1.8,85,15.20,60,8.1,0.2,95,88.7,99.1,None
2024-10-01,Software_Deployment,Engineering,180,78.9,3.2,8,125.00,45,7.8,2.1,89,72.3,95.5,Code_Review
2024-10-01,Invoice_Processing,Finance,25,88.5,1.5,65,12.30,80,8.5,0.1,96,91.2,99.8,None
2024-10-01,Quality_Assurance,Engineering,90,82.7,2.8,15,45.60,25,7.5,1.2,87,76.9,96.8,Manual_Testing
2024-10-02,Order_Processing,Operations,42,87.1,1.9,125,8.20,40,7.4,0.3,93,80.8,98.5,None
2024-10-02,Customer_Support,Support,11,93.5,1.6,88,14.80,65,8.3,0.1,96,90.2,99.3,None
2024-10-02,Software_Deployment,Engineering,175,80.2,2.9,9,120.00,50,8.0,1.8,90,75.1,96.2,None
2024-10-02,Invoice_Processing,Finance,23,90.1,1.3,68,11.90,85,8.7,0.0,97,92.8,99.9,None
2024-10-02,Quality_Assurance,Engineering,85,84.3,2.5,17,43.20,30,7.7,1.0,88,79.2,97.2,None
2024-10-03,Order_Processing,Operations,40,88.7,1.7,130,7.90,45,7.6,0.2,94,82.9,98.8,None
2024-10-03,Customer_Support,Support,10,94.2,1.4,92,14.40,70,8.5,0.0,97,91.8,99.5,None
2024-10-03,Software_Deployment,Engineering,170,81.5,2.6,10,115.00,55,8.2,1.5,91,77.8,96.8,None
2024-10-03,Invoice_Processing,Finance,22,91.3,1.1,72,11.50,90,8.9,0.0,98,94.1,100.0,None
2024-10-03,Quality_Assurance,Engineering,80,85.9,2.2,19,41.80,35,7.9,0.8,89,81.5,97.6,None
2024-10-04,Order_Processing,Operations,38,90.1,1.5,135,7.60,50,7.8,0.1,95,85.2,99.1,None
2024-10-04,Customer_Support,Support,9,95.1,1.2,95,14.00,75,8.7,0.0,98,93.5,99.7,None
2024-10-04,Software_Deployment,Engineering,165,82.8,2.3,11,110.00,60,8.4,1.2,92,80.5,97.2,None
2024-10-04,Invoice_Processing,Finance,21,92.5,0.9,75,11.10,95,9.1,0.0,99,95.7,100.0,None
2024-10-04,Quality_Assurance,Engineering,75,87.2,1.9,21,40.20,40,8.1,0.6,90,83.8,98.0,None
2024-10-05,Order_Processing,Operations,36,91.8,1.3,140,7.30,55,8.0,0.0,96,87.5,99.4,None
2024-10-05,Customer_Support,Support,8,96.0,1.0,98,13.60,80,8.9,0.0,99,95.2,99.9,None
2024-10-05,Software_Deployment,Engineering,160,84.1,2.0,12,105.00,65,8.6,0.9,93,83.2,97.8,None
2024-10-05,Invoice_Processing,Finance,20,93.7,0.7,78,10.70,100,9.3,0.0,100,97.2,100.0,None
2024-10-05,Quality_Assurance,Engineering,70,88.8,1.6,23,38.60,45,8.3,0.4,91,86.1,98.4,None
2024-10-08,Order_Processing,Operations,34,93.2,1.1,145,7.00,60,8.2,0.0,97,89.8,99.6,None
2024-10-08,Customer_Support,Support,7,96.9,0.8,102,13.20,85,9.1,0.0,100,96.8,100.0,None
2024-10-08,Software_Deployment,Engineering,155,85.4,1.7,13,100.00,70,8.8,0.6,94,85.9,98.2,None
2024-10-08,Invoice_Processing,Finance,19,94.9,0.5,82,10.30,100,9.5,0.0,100,98.8,100.0,None
2024-10-08,Quality_Assurance,Engineering,65,90.1,1.3,25,37.00,50,8.5,0.2,92,88.4,98.8,None